Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
NOR,McLaren,81.316,20.176,36.231,24.909,MEDIUM,7,True,False,1
SAI,Williams,81.331,21.962,37.748,21.621,HARD,9,True,False,1
VER,Red Bull Racing,81.36,21.511,38.283,21.566,HARD,7,True,False,1
HUL,Audi,81.371,22.175,38.023,21.173,HARD,2,True,False,1
LEC,Ferrari,81.487,22.222,38.092,21.173,HARD,2,True,False,1
ALO,Aston Martin,81.544,20.98,38.429,22.135,HARD,10,True,False,1
BOR,Audi,81.583,20.616,36.874,24.093,MEDIUM,2,True,False,1
LIN,Racing Bulls,81.611,21.378,37.676,22.557,HARD,4,True,False,1
HUL,Audi,81.626,21.183,37.26,23.183,MEDIUM,2,True,False,1
LAW,Racing Bulls,81.691,20.114,35.903,25.674,MEDIUM,6,True,False,1
HAD,Red Bull Racing,81.695,21.794,38.212,21.689,HARD,2,True,False,1
NOR,McLaren,81.718,20.597,36.165,24.956,MEDIUM,8,True,False,1
GAS,Alpine,81.797,20.418,36.611,24.768,MEDIUM,2,True,False,1
SAI,Williams,81.803,20.48,36.706,24.617,HARD,10,True,False,1
OCO,Haas F1 Team,81.865,21.725,38.265,21.875,MEDIUM,2,True,False,1
SAI,Williams,81.987,20.509,39.335,22.143,HARD,5,True,False,1
BOT,Cadillac,82.15,21.05,36.958,24.142,SOFT,2,True,False,1
SAI,Williams,82.339,21.152,38.17,23.017,HARD,3,True,False,1
BEA,Haas F1 Team,82.466,21.034,39.694,21.738,MEDIUM,2,True,False,1
OCO,Haas F1 Team,82.657,20.964,36.902,24.791,HARD,9,True,False,1
VER,Red Bull Racing,82.707,20.895,36.932,24.88,MEDIUM,2,True,False,1
PER,Cadillac,83.003,22.457,38.721,21.825,MEDIUM,2,True,False,1
HAM,Ferrari,83.096,19.805,40.801,22.49,MEDIUM,4,True,False,1
GAS,Alpine,83.153,22.509,38.63,22.014,HARD,2,True,False,1
ALB,Williams,83.454,22.518,38.613,22.323,HARD,2,True,False,1
BEA,Haas F1 Team,83.474,21.296,37.145,25.033,HARD,4,True,False,1
ALO,Aston Martin,83.61,21.714,37.52,24.376,MEDIUM,2,True,False,1
LIN,Racing Bulls,83.667,21.504,38.533,23.63,HARD,3,True,False,1
RUS,Mercedes,83.727,23.269,39.233,21.225,MEDIUM,2,True,False,12
ALB,Williams,83.993,22.202,40.094,21.697,MEDIUM,2,True,False,1
HAD,Red Bull Racing,84.02,24.291,37.6,22.129,HARD,4,True,False,1
NOR,McLaren,84.034,20.999,39.832,23.203,HARD,9,True,False,1
OCO,Haas F1 Team,84.051,21.01,37.084,25.957,HARD,4,True,False,1
RUS,Mercedes,84.062,21.379,39.584,23.099,HARD,5,True,False,1
SAI,Williams,84.178,22.522,39.236,22.42,HARD,2,True,False,1
OCO,Haas F1 Team,84.298,23.352,38.974,21.972,HARD,2,True,False,1
LEC,Ferrari,84.314,19.369,36.469,28.476,MEDIUM,8,True,False,1
BOR,Audi,84.353,22.621,39.261,22.471,HARD,2,True,False,1
OCO,Haas F1 Team,84.664,20.676,37.025,26.963,HARD,6,True,False,1
RUS,Mercedes,84.699,21.908,38.554,24.237,HARD,2,True,False,1
HUL,Audi,84.965,19.921,38.751,26.293,MEDIUM,8,True,False,1
LIN,Racing Bulls,84.997,22.752,40.16,22.085,HARD,2,True,False,1
RUS,Mercedes,85.172,20.689,39.514,24.969,HARD,8,True,False,1
LAW,Racing Bulls,85.471,20.056,39.651,25.764,MEDIUM,8,True,False,1
ALO,Aston Martin,85.548,20.583,40.584,24.381,MEDIUM,7,True,False,12
NOR,McLaren,85.873,21.869,41.888,22.116,MEDIUM,10,True,False,12
HUL,Audi,86.044,20.489,39.741,25.814,HARD,5,True,False,1
ALO,Aston Martin,86.288,20.168,37.182,28.938,MEDIUM,8,True,False,1
ALB,Williams,86.506,20.734,39.611,26.161,HARD,8,True,False,1
PIA,McLaren,86.77,21.321,38.259,27.19,MEDIUM,2,True,False,1
HUL,Audi,86.777,23.758,41.535,21.484,MEDIUM,7,True,False,12
BEA,Haas F1 Team,86.829,20.726,36.757,29.346,HARD,8,True,False,1
BOT,Cadillac,86.902,21.456,42.236,23.21,MEDIUM,9,True,False,1
HAM,Ferrari,87.244,20.786,44.943,21.515,HARD,3,True,False,1
COL,Alpine,87.329,21.675,41.894,23.76,MEDIUM,4,True,False,1
ALO,Aston Martin,87.986,21.485,39.329,27.172,MEDIUM,5,True,False,1
STR,Aston Martin,88.229,20.696,36.842,30.691,MEDIUM,9,True,False,1
BEA,Haas F1 Team,88.252,21.757,43.397,23.098,MEDIUM,8,True,False,12
SAI,Williams,88.255,22.34,39.855,26.06,MEDIUM,5,True,False,1
HAM,Ferrari,88.398,21.798,44.351,22.249,HARD,9,True,False,1
LIN,Racing Bulls,88.442,20.795,41.569,26.078,MEDIUM,9,True,False,1
HAM,Ferrari,88.457,20.006,38.846,29.605,HARD,8,True,False,1
OCO,Haas F1 Team,88.9,23.245,41.564,24.091,HARD,8,True,False,1
BEA,Haas F1 Team,89.561,22.73,39.377,27.454,HARD,2,True,False,1
HAM,Ferrari,90.172,21.153,40.004,29.015,MEDIUM,3,True,False,1
PER,Cadillac,90.302,21.007,43.356,25.939,MEDIUM,4,True,False,1
BEA,Haas F1 Team,90.365,20.559,40.891,28.915,HARD,6,True,False,1
LEC,Ferrari,90.377,19.627,38.238,32.512,MEDIUM,5,True,False,1
ALB,Williams,90.467,20.076,47.524,22.867,MEDIUM,8,True,False,12
ANT,Mercedes,90.766,23.708,44.197,22.861,HARD,10,True,False,1
HAD,Red Bull Racing,90.785,22.061,44.641,24.083,HARD,9,True,False,1
HAM,Ferrari,90.855,24.551,45.146,21.158,HARD,5,True,False,1
HAM,Ferrari,90.889,21.416,47.311,22.162,MEDIUM,2,True,False,1
BOT,Cadillac,91.14,22.242,40.97,27.928,MEDIUM,2,True,False,1
GAS,Alpine,91.253,26.321,41.717,23.215,MEDIUM,8,True,False,1
HAD,Red Bull Racing,91.304,23.234,43.87,24.2,HARD,7,True,False,1
ANT,Mercedes,91.426,22.444,42.726,26.256,HARD,7,True,False,1
ANT,Mercedes,91.529,26.194,43.026,22.309,MEDIUM,3,True,False,1
LEC,Ferrari,91.681,21.662,44.005,26.014,MEDIUM,3,True,False,1
GAS,Alpine,91.686,26.063,43.36,22.263,MEDIUM,6,True,False,1
LIN,Racing Bulls,91.702,20.903,47.045,23.754,HARD,5,True,False,1
PIA,McLaren,91.753,20.834,38.294,32.625,MEDIUM,7,True,False,1
STR,Aston Martin,92.572,25.925,42.537,24.11,MEDIUM,7,True,False,1
ALB,Williams,93.022,24.49,46.389,22.143,MEDIUM,4,True,False,1
VER,Red Bull Racing,93.165,23.676,46.324,23.165,MEDIUM,8,True,False,1
BOR,Audi,93.633,24.978,46.202,22.453,MEDIUM,4,True,False,1
LAW,Racing Bulls,93.843,22.157,39.68,32.006,HARD,2,True,False,1
HUL,Audi,93.858,27.251,44.272,22.335,MEDIUM,4,True,False,1
PIA,McLaren,94.174,23.769,43.565,26.84,HARD,8,True,False,1
BOT,Cadillac,94.444,22.733,42.81,28.901,MEDIUM,5,True,False,1
ALO,Aston Martin,94.66,25.143,43.378,26.139,HARD,9,True,False,1
ALB,Williams,94.845,20.654,48.156,26.035,HARD,7,True,False,1
HUL,Audi,94.854,25.131,46.182,23.541,HARD,7,True,False,1
COL,Alpine,96.12,19.961,39.061,37.098,MEDIUM,3,True,False,1
HUL,Audi,97.054,27.829,45.117,24.108,MEDIUM,6,True,False,1
COL,Alpine,97.318,22.442,41.209,33.667,HARD,5,True,False,1
LAW,Racing Bulls,97.349,25.23,47.588,24.531,MEDIUM,7,True,False,1
VER,Red Bull Racing,97.644,25.059,48.495,24.09,MEDIUM,6,True,False,1
HAM,Ferrari,97.676,26.867,46.313,24.496,HARD,7,True,False,1
NOR,McLaren,97.787,23.701,46.003,28.083,HARD,5,True,False,1
RUS,Mercedes,97.85,25.179,51.146,21.525,MEDIUM,4,True,False,1
BEA,Haas F1 Team,98.257,29.622,43.964,24.671,MEDIUM,4,True,False,1
PIA,McLaren,98.47,28.216,47.623,22.631,MEDIUM,9,True,False,1
RUS,Mercedes,98.529,28.7,48.699,21.13,MEDIUM,7,True,False,1
HUL,Audi,98.616,21.805,51.251,25.56,HARD,4,True,False,1
ANT,Mercedes,98.73,24.521,50.276,23.933,MEDIUM,6,True,False,1
BOT,Cadillac,99.083,24.698,47.737,26.648,SOFT,5,True,False,1
PER,Cadillac,99.102,23.827,46.016,29.259,SOFT,3,True,False,1
BOR,Audi,99.54,30.14,47.077,22.323,MEDIUM,8,True,False,1
PER,Cadillac,99.828,25.035,43.12,31.673,SOFT,5,True,False,12
PIA,McLaren,100.252,22.153,46.305,31.794,MEDIUM,6,True,False,1
LAW,Racing Bulls,100.268,26.701,45.845,27.722,HARD,6,True,False,1
RUS,Mercedes,100.433,25.847,47.024,27.562,HARD,4,True,False,1
GAS,Alpine,100.844,26.989,47.718,26.137,HARD,9,True,False,1
LEC,Ferrari,100.984,23.652,48.542,28.79,MEDIUM,7,True,False,12
BOT,Cadillac,101.515,23.442,49.012,29.061,SOFT,4,True,False,1
BOR,Audi,102.147,25.664,45.174,31.309,HARD,5,True,False,1
BOT,Cadillac,103.548,23.13,48.093,32.325,MEDIUM,7,True,False,1
OCO,Haas F1 Team,103.848,24.379,46.609,32.86,MEDIUM,5,True,False,1
BOR,Audi,104.417,26.99,48.8,28.627,MEDIUM,6,True,False,1
COL,Alpine,104.721,29.6,46.96,28.161,MEDIUM,6,True,False,12
