Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
HER,Cadillac,123.407,46.439,46.302,30.666,HARD,10,True,False,1
ARO,Alpine,123.477,46.184,49.462,27.831,MEDIUM,7,True,False,1
LIN,Racing Bulls,124.262,47.198,42.708,34.356,MEDIUM,8,True,False,1
HER,Cadillac,124.736,43.779,50.273,30.684,SOFT,4,True,False,1
HER,Cadillac,124.847,45.152,47.08,32.615,HARD,8,True,False,1
VES,Mercedes,125.288,40.682,57.365,27.241,MEDIUM,8,True,False,1
ALB,Williams,125.711,47.833,46.427,31.451,SOFT,3,True,False,1
OCO,Haas F1 Team,126.26,45.495,46.533,34.232,SOFT,7,True,False,21
GAS,Alpine,126.565,48.021,44.128,34.416,SOFT,4,True,False,1
SAI,Williams,126.871,48.072,46.987,31.812,MEDIUM,8,True,False,1
HER,Cadillac,126.899,44.882,48.393,33.624,SOFT,3,True,False,1
LAW,Racing Bulls,127.213,51.49,43.434,32.289,MEDIUM,8,True,False,1
HIR,Haas F1 Team,127.363,47.595,43.098,36.67,SOFT,5,True,False,21
NOR,McLaren,127.805,47.423,49.59,30.792,MEDIUM,7,True,False,1
ARO,Alpine,129.101,47.413,50.763,30.925,SOFT,3,True,False,1
VES,Mercedes,129.216,50.336,53.678,25.202,MEDIUM,10,True,False,1
LAW,Racing Bulls,129.399,47.906,52.688,28.805,MEDIUM,3,True,False,1
HER,Cadillac,131.064,38.285,43.819,48.96,SOFT,15,True,False,1
VER,Red Bull Racing,132.355,49.795,48.237,34.323,MEDIUM,5,True,False,1
OCO,Haas F1 Team,132.887,48.133,54.163,30.591,MEDIUM,6,True,False,1
RUS,Mercedes,134.097,52.757,48.299,33.041,MEDIUM,6,True,False,1
HAM,Ferrari,141.731,60.339,53.841,27.551,MEDIUM,7,True,False,1
RUS,Mercedes,141.91,54.331,51.007,36.572,SOFT,3,True,False,1
